opportunity_id,opportunity_name,stage,deal_value,sales_rep,account_type,partner_involved,product_category,competitor,next_step_defined,created_date,last_interaction_date,expected_close_date,pipeline_age_days,days_since_last_interaction,size_bucket,forecast_month,stale_opportunity
1001,Opportunity 1,Decide,29001765,Evangeline N,Existing,Yes,Software,Fan D,Yes,2025-07-21,2025-09-28,2025-10-31,72,3,5M-100M,2025-10,False
1002,Opportunity 2,Select,4354161,Reece P,New,Yes,Electronics,Fan A,No,2025-06-17,2025-06-25,2025-10-25,106,98,1M-5M,2025-10,True
1003,Opportunity 3,Validate,11536303,Howard W,New,Yes,Software,Fan A,No,2025-04-12,2025-04-26,2025-05-19,172,158,5M-100M,2025-05,True
1004,Opportunity 4,Select,91792902,Dexter W,New,Yes,Software,Fan B,Yes,2025-03-27,2025-03-30,2025-06-17,188,185,5M-100M,2025-06,True
1005,Opportunity 5,Select,20377559,Xena J,New,No,Electronics,Fan A,No,2025-05-22,2025-06-15,2025-11-09,132,108,5M-100M,2025-11,True
1006,Opportunity 6,Discover,41590325,Reece P,New,Yes,Software,Fan C,No,2025-08-01,2025-08-14,2026-01-12,61,48,5M-100M,2026-01,True
1007,Opportunity 7,Validate,23341975,Evangeline N,Existing,No,Software,Fan E,No,2025-02-20,2025-04-04,2025-08-05,223,180,5M-100M,2025-08,True
1008,Opportunity 8,Validate,27134160,Macon K,Existing,Yes,Electronics,Fan A,No,2025-04-22,2025-05-21,2025-05-24,162,133,5M-100M,2025-05,True
1009,Opportunity 9,Validate,9320157,Avram H,New,No,Software,Fan A,No,2025-03-06,2025-05-17,2025-06-21,209,137,5M-100M,2025-06,True
1010,Opportunity 10,Select,9007950,Evangeline N,New,No,Software,Fan B,No,2025-07-02,2025-08-22,2025-12-23,91,40,5M-100M,2025-12,True
1011,Opportunity 11,Decide,12242945,Macon K,New,Yes,Electronics,Fan C,Yes,2025-01-10,2025-02-21,2025-05-05,264,222,5M-100M,2025-05,True
1012,Opportunity 12,Validate,21452320,Damon S,New,Yes,Software,Fan A,No,2025-08-22,2025-09-22,2025-11-05,40,9,5M-100M,2025-11,False
1013,Opportunity 13,Commit,6325006,Ulysses H,New,Yes,Software,Fan E,No,2025-09-01,2025-11-03,2025-12-29,30,-33,5M-100M,2025-12,False
1014,Opportunity 14,Select,10287753,Howard W,Existing,No,Software,Fan E,No,2025-09-24,2025-10-20,2026-03-14,7,-19,5M-100M,2026-03,False
1015,Opportunity 15,Discover,6123137,Hayden E,New,No,Software,Fan A,Yes,2025-04-28,2025-05-16,2025-06-05,156,138,5M-100M,2025-06,True
1016,Opportunity 16,Decide,10209424,Damon S,New,Yes,Software,Fan C,No,2025-05-24,2025-08-14,2025-10-15,130,48,5M-100M,2025-10,True
1017,Opportunity 17,Commit,1980390,Reece P,New,Yes,Software,Fan E,No,2025-07-20,2025-09-15,2025-12-26,73,16,1M-5M,2025-12,False
1018,Opportunity 18,Commit,202686895,Damon S,Existing,Yes,Electronics,Fan E,No,2025-08-27,2025-09-03,2025-12-09,35,28,100M+,2025-12,False
1019,Opportunity 19,Discover,3687546,Reece P,Existing,No,Electronics,Fan C,Yes,2025-09-03,2025-10-21,2025-12-22,28,-20,1M-5M,2025-12,False
1020,Opportunity 20,Decide,5758842,Hayden E,Existing,Yes,Electronics,Fan C,No,2025-01-08,2025-03-29,2025-06-14,266,186,5M-100M,2025-06,True
1021,Opportunity 21,Select,3324675,Maya Z,Existing,Yes,Software,Fan A,No,2025-06-01,2025-07-31,2025-08-03,122,62,1M-5M,2025-08,True
1022,Opportunity 22,Mutual Interest,18603317,Macon K,New,Yes,Software,Fan D,No,2025-07-30,2025-09-01,2026-01-22,63,30,5M-100M,2026-01,False
1023,Opportunity 23,Decide,7023672,Howard W,New,Yes,Electronics,Fan B,No,2025-06-07,2025-06-10,2025-08-14,116,113,5M-100M,2025-08,True
